ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup
Achagua,Achagua,acha1250,Achagua,aca,South America,4.4,-72.25,Arawakan,Guaviare-Meta
Baniwa,Baniwa,bani1255,Baniwa do Icana,bwi,South America,1.2,-67.8,Arawakan,Vaupés-Guainía
Baniwa_Dzawinai,Baniwa_Dzawinai,bani1255,Baniwa do Icana,bwi,South America,1.27,-67.85,Arawakan,Vaupés-Guainía
Baniwa_Dzurema,Baniwa_Dzurema,bani1255,Baniwa do Icana,bwi,South America,1.3,-69.6,Arawakan,Vaupés-Guainía
Baniwa_Hohoodene,Baniwa_Hohoodene,bani1255,Baniwa do Icana,bwi,South America,1.21,-69.2,Arawakan,Vaupés-Guainía
Baniwa_Kowaidakenai,Baniwa_Kowaidakenai,bani1261,Baniwa Meridional,,South America,0.70,-67.50,Arawakan,Vaupés-Guainía
Baniwa_Mauliene,Baniwa_Mauliene,bani1255,Baniwa do Icana,bwi,South America,1.7,-68.1,Arawakan,Vaupés-Guainía
Baniwa_Waliperidakenai,Baniwa_Waliperidakenai,bani1255,Baniwa do Icana,bwi,South America,1.5,-68.6,Arawakan,Vaupés-Guainía
Bare,Baré,bare1276,Baré,bae,South America,1.92 ,-66.83,Arawakan,Rio Negro
Kabiyari,Kabiyari,cabi1241,Cabiyarí,cbb,South America,0.16,-71.06,Arawakan,Caquetá
Kauixana,Kauixana,kais1242,Kaishana,,South America,-2.17,-67.32,Arawakan,Japurá
Koripako_aha,Koripako_aha,curr1243,Curripaco,kpc,South America,3.2,-68,Arawakan,Vaupés-Guainía
Koripako_ehe,Koripako_ehe,bani1261,Baniwa Meridional,,South America,2.8,-67.8,Arawakan,Vaupés-Guainía
Koripako_Kumadene,Koripako_Kumadene,bani1262,Baniwa do Alto Icana,,South America,1.7,-69.,Arawakan,Vaupés-Guainía
Koripako_name,Koripako_name,bani1263,Baniwa do Rio Guainia,,South America,2.8,-68.6,Arawakan,Vaupés-Guainía
Koripako_oho,Koripako_oho,bani1263,Baniwa do Rio Guainia,,South America,3.6,-68,Arawakan,Vaupés-Guainía
Passe,Passé,pass1250,Passe,,South America,0.44,-68.90,Arawakan,Japurá
Piapoco,Piapoco,piap1246,Piapoco,pio,South America,-2.6,-68.47,Arawakan,Guaviare-Meta
Resigaro,Resigaro,resi1247,Resígaro,rgr,South America,4,-69.5,Arawakan,Caquetá
Tariana,Tariana,tari1256,Tariana,tae,South America,-1.17 ,-71.61,Arawakan,Vaupés-Guainía
Tariana_Bruzzi,Tariana_Bruzzi,tari1256,Tariana,tae,South America,0.44,-68.90,Arawakan,Vaupés-Guainía
Tariana_Kumadene,Tariana_Kumadene,tari1256,Tariana,tae,South America,0.66,-68.8,Arawakan,Vaupés-Guainía
Warekena,Warekena,guar1293,Baniva de Maroa,gae,South America,1.5,-67.5,Arawakan,Ato-Orinoco
Werekena_Baniva,Werekena_Baniva,guar1293,Baniva de Maroa,gae,South America,1.81,-66.92,Arawakan,Ato-Orinoco
Yukuna,Yukuna,yucu1253,Yucuna,ycn,South America,-0.76,-71.00,Arawakan,Caquetá
Yumana,Yumana,juma1250,Jumana,,South America,-1.93,-68.30,Arawakan,Japurá
